Band;Country
Asphagor;Austria
Belphegor;Austria
Bitchfork;Austria
Darkfall;Austria
Deathstorm;Austria
Ellende;Austria
Insanity Alert;Austria
Jesajah;Austria
Perchta;Austria
Prediction;Austria
Schirenc Plays Pungent Stench;Austria
The Phobos Ensemble;Austria
Aborted;Belgium
Carnation;Belgium
Evil Invaders;Belgium
Kosmokrator;Belgium
Possession;Belgium
Schizophrenia;Belgium
Hereza;Croatia
Fleshless;Czech Republic
Master;Czech Republic
Root;Czech Republic
Sněť;Czech Republic
Tortharry;Czech Republic
Angstskíg;Denmark
Artillery;Denmark
Baest;Denmark
Glemsel;Denmark
HateSphere;Denmark
Illdisposed;Denmark
Maceration;Denmark
Orobas;Denmark
Volbeat;Denmark
Amorphis;Finland
Bloodred Hourglass;Finland
Children of Bodom;Finland
Corpsessed;Finland
Impaled Nazarene;Finland
Lost Society;Finland
Omnium Gatherum;Finland
Satan's Fall;Finland
Stam1na;Finland
Tornado;Finland
Wolfheart;Finland
Antagonism;France
Dagoba;France
Destinity;France
Inhumate;France
Lonewolf;France
No Return;France
Seth;France
Skelethal;France
Venefixion;France
Abrogation;Germany
ADDICT;Germany
Aeon of Disease;Germany
Äera;Germany
Agathodaimon;Germany
All its Grace;Germany
AntiPeeWee;Germany
April in Flames;Germany
Arroganz;Germany
Asenblut;Germany
Atomwinter;Germany
Avowal;Germany
Balberskult;Germany
Baleful Abyss (Zombieslut);Germany
Beltez;Germany
Betrayal;Germany
Bitchhammer;Germany
Blessed Hellride;Germany
Blizzen;Germany
Blodtåke;Germany
Blood;Germany
Bloodland;Germany
Bloodspot;Germany
Boötes Void;Germany
Chapel of Disease;Germany
Convictive;Germany
Credic;Germany
Critical Mess;Germany
Crusher;Germany
Crypts;Germany
Ctulu;Germany
Daily Insanity;Germany
Darkened Nocturn Slaughtercult;Germany
Darkness;Germany
Dark Zodiak;Germany
Dawn of Disease;Germany
Dead Eyed Sleeper (Legacy);Germany
Deathrite;Germany
Debauchery's Balgeroth;Germany
Decaying Days;Germany
Demored;Germany
Demorphed;Germany
Depression;Germany
Der rote Milan;Germany
Deserted Fear;Germany
Diaroe;Germany
Disbelief;Germany
Discreation;Germany
Dissecdead;Germany
Divide;Germany
Drill Star Autopsy;Germany
Dust Bolt;Germany
Eisregen;Germany
Eminenz;Germany
Empyreal;Germany
Endlevel;Germany
Endseeker;Germany
Eradicator;Germany
Eridu;Germany
Exumer;Germany
Fabulous Desaster;Germany
Fallen Temple;Germany
Ferndal;Germany
Firtan;Germany
Fjoergyn;Germany
Flammenaar;Germany
Fleshcrawl;Germany
Fleshsphere;Germany
Flesh Trading Company;Germany
Goath;Germany
GodSkill;Germany
Godslave;Germany
Gorleben;Germany
Grabak;Germany
Groza;Germany
Hailstone;Germany
Hämatom;Germany
Haunted Cemetery;Germany
Hellburst;Germany
Helrunar;Germany
Hexenizer;Germany
Hollowed;Germany
Holy Moses;Germany
Home Reared Meat;Germany
Horns of Domination;Germany
Horresque;Germany
Humator;Germany
Ichor;Germany
Imperium Dekadenz;Germany
Implore;Germany
Indian Nightmare;Germany
Insulter;Germany
Into Darkness;Germany
Invoker;Germany
Iron Savior;Germany
Jarl;Germany
Kadaverficker;Germany
Kambrium;Germany
Keitzer;Germany
Kreator;Germany
Legal Hate;Germany
Lesson in Violence;Germany
Määt;Germany
Mantar;Germany
Melodramatic Fools;Germany
Membaris;Germany
Milking the Goatmachine;Germany
Misanthropic;Germany
Morasth;Germany
Moronic;Germany
Mortal Peril;Germany
Mosaic;Germany
Nachtblut;Germany
Nailed to Obscurity;Germany
Nameless Death;Germany
Naxen;Germany
Necrotted;Germany
Nekrovault;Germany
Nocte Obducta;Germany
Obscenity;Germany
Obscurity;Germany
Orcus Patera;Germany
Paxtilence;Germany
Phantom Corporation;Germany
