The Red Chord;Technical Death Metal
The Red Chord;Grindcore
The Red Chord;Deathcore
The Red Chord;Metalcore
Waking the Cadaver;Slam Death Metal
Waking the Cadaver;Brutal Death Metal
Waking the Cadaver;Deathcore
Waking the Cadaver;Death Metal
Waking the Cadaver;Hardcore
Cephalotripsy;Slam Death Metal
Cephalotripsy;Brutal Death Metal
Disentomb;Brutal Death Metal
Disavowed;Brutal Death Metal
Hideous Divinity;Technical Death Metal
Hideous Divinity;Brutal Death Metal
Dehumanizing Itatrain Worship;Slam Death Metal
Dehumanizing Itatrain Worship;Brutal Death Metal
Guttural Slug;Slam Death Metal
Guttural Slug;Brutal Death Metal
Gorod;Progressive Death Metal
Gorod;Technical Death Metal
Putridity;Brutal Death Metal
Inhume;Brutal Death Metal
Inhume;Grindcore
Distaste;Grindcore
Distaste;Brutal Death Metal
Teething;Grindcore
.357 Homicide;Slam Death Metal
.357 Homicide;Brutal Death Metal
Maximize Bestility;Slam Death Metal
Cenotaph;Brutal Death Metal
The Voynich Code;Technical Deathcore
Human Vivisection;Brutal Death Metal
Sodomized Cadaver;Death Metal
Barren;Grindcore
Barren;Death Metal
Barren;Crust Punk
Devine Defilement;Death Metal
Devine Defilement;Deathcore
A Call for Revenge;Deathcore
A Call for Revenge;Death Metal
Crown the Beast;Groovy Metal
Crown the Beast;Death Metal
Pray for Pain;Death Metal
Pray for Pain;Deathcore
Deathawaits;Death Metal
Deathawaits;Thrash Metal
Deathawaits;Deathcore
Putrid Defecation;Slam Death Metal
Putrid Defecation;Brutal Death Metal
Paediatrician;Slam Death Metal
Paediatrician;Brutal Death Metal
Paediatrician;Goregrind
Infestation;Slam Death Metal
Infestation;Brutal Death Metal
Infestation;Goregrind
Unhallowed Deliverance;Brutal Death Metal
Unhallowed Deliverance;Deathcore
